project,none,znorm,qrs,qrs_box,journal
syn1_2,0.0,0.0,0.009,0.003,0.006
AEEEM_EQ,0.0,0.0,0.02,0.031,0.015
log1_0,0.0,0.0,0.026,0.017,0.02
jira_jru,0.0,0.0,0.007,0.017,0.003
jedit4_0,0.0,0.0,0.007,0.007,0.009
AEEEM_PDE,0.0,0.0,0.008,0.025,0.012
AEEEM_ML,0.0,0.0,0.035,0.041,0.013
jira_hiv,0.0,0.0,0.011,0.007,0.002
vel1_6,0.0,0.0,0.008,0.009,0.006
tom6_0,0.0,0.0,0.007,0.003,0.005
ant1_7,0.0,0.0,0.006,0.004,0.008
xal2_4,0.0,0.0,0.006,0.005,0.008
camel1_4,0.0,0.0,0.011,0.01,0.007
jira_wic,0.0,0.0,0.019,0.01,0.011
jira_der,0.0,0.0,0.024,0.012,0.003
luc2_4,0.0,0.0,0.008,0.008,0.013
poi2_0,0.0,0.0,0.012,0.018,0.022
xer1_3,0.0,0.0,0.007,0.008,0.006
jira_hba,0.0,0.0,0.006,0.026,0.004
ivy2_0,0.0,0.0,0.007,0.003,0.005
AEEEM_LC,0.0,0.0,0.03,0.018,0.018
jira_act,0.0,0.0,0.014,0.021,0.003
AEEEM_JDT,0.0,0.0,0.027,0.018,0.005
jira_gro,0.0,0.0,0.008,0.007,0.005
